SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G10,2024-04-13 16:53:53.426041,4436902.022354482,3085279.4682255145,3376338.976966529,22842846.138117302,49.4
G21,2024-04-13 16:53:53.426041,4436886.931285642,3085272.45925453,3376316.5087452023,21665902.940499175,44.0
G27,2024-04-13 16:53:53.426041,4436904.354170854,3085268.304024658,3376322.9512878195,22221784.68715979,38.3
G32,2024-04-13 16:53:53.426041,4436898.503224566,3085262.3941588565,3376322.40882189,21483939.678204738,49.5
G08,2024-04-13 16:53:53.426041,4436891.574308544,3085249.5907270974,3376310.0637342744,21160560.47955578,28.7
G10,2024-04-13 16:53:53.426041,4434495.568552578,3085022.068346968,3375338.595035287,22840492.76685249,39.9
G32,2024-04-13 16:53:53.426041,4434500.724957027,3085015.1672774157,3375336.797339482,21481577.02342409,25.0
G02,2024-04-13 16:53:54.426041,4436923.042498882,3085231.396249132,3376322.0509879547,22884107.771270175,34.4
G08,2024-04-13 16:53:54.426041,4436927.906249025,3085220.554648564,3376321.576036789,21163133.898066286,33.3
G10,2024-04-13 16:53:54.426041,4436932.2620115895,3085215.159485537,3376322.949551292,22843233.183946766,49.4
G21,2024-04-13 16:53:54.426041,4436933.52066493,3085207.73331037,3376317.704111465,21665594.420649536,46.6
G27,2024-04-13 16:53:54.426041,4436937.341605446,3085196.0661594733,3376324.0626459434,22222358.206016023,41.8
G32,2024-04-13 16:53:54.426041,4436936.713833473,3085194.29841865,3376312.739806112,21484217.311168976,48.5
G08,2024-04-13 16:53:54.426041,4435813.182421486,3085293.0418349057,3375186.7002116395,21160772.70910393,32.0
G10,2024-04-13 16:53:54.426041,4436944.744618896,3085181.64463725,3376323.687247415,22840879.219374556,39.8
G28,2024-04-13 16:53:54.426041,4435751.852738036,3085162.3355934783,3375072.505585674,23814006.73562894,25.7
G32,2024-04-13 16:53:54.426041,4435754.6238431325,3085152.3203462427,3375069.304646567,21481865.440622892,31.0
G02,2024-04-13 16:53:55.426041,4436952.714653058,3085173.4836907377,3376316.960727093,22883634.41666377,40.9
G03,2024-04-13 16:53:55.426041,4436951.2884846935,3085167.7285908507,3376327.7838253076,23994606.50771007,26.1
G08,2024-04-13 16:53:55.426041,4435555.976867008,3084960.2958098412,3376385.1229432593,21163343.440280903,38.7
G10,2024-04-13 16:53:55.426041,4434951.490797499,3085023.299357364,3375110.3369553923,22843620.823083635,43.5
G21,2024-04-13 16:53:55.426041,4436969.896735598,3085160.029718093,3376321.846191243,21665278.746210627,45.4
G27,2024-04-13 16:53:55.426041,4436972.226697636,3085151.0355427754,3376315.6771687884,22222928.095226966,40.1
G28,2024-04-13 16:53:55.426041,4436976.1487882035,3085150.9811285185,3376316.009918349,23815874.43243362,35.6
G32,2024-04-13 16:53:55.426041,4436980.102177128,3085134.339027149,3376300.6489073792,21484500.004696358,48.5
G08,2024-04-13 16:53:55.426041,4436977.858601307,3085129.91732175,3376310.5956584746,21160987.381682564,28.4
G10,2024-04-13 16:53:55.426041,4436986.927948709,3085123.376134497,3376305.538856168,22841265.951100104,39.6
G27,2024-04-13 16:53:55.426041,4435795.0349197965,3085092.874743826,3375059.6331244665,22220581.320144463,25.9
G28,2024-04-13 16:53:55.426041,4437012.795961302,3085113.1184858084,3376316.15313378,23813527.657351118,27.5
G32,2024-04-13 16:53:55.426041,4437014.026413344,3085098.0648919307,3376308.9686648836,21482146.31932763,33.1
G02,2024-04-13 16:53:56.426041,4437024.297678207,3085090.647737979,3376319.576675514,22883157.74651599,44.9
G08,2024-04-13 16:53:56.426041,4437018.532985834,3085080.4909157082,3376311.6912207436,21163562.580115277,35.9
G10,2024-04-13 16:53:56.426041,4437030.470437154,3085071.696537276,3376318.4081792124,22844004.23926781,41.3
G21,2024-04-13 16:53:56.426041,4437035.759378996,3085076.0683862227,3376318.7755293916,21664964.258386523,47.4
G27,2024-04-13 16:53:56.426041,4437031.98664463,3085074.815294908,3376314.296005102,22223505.20882805,39.7
G28,2024-04-13 16:53:56.426041,4437034.256784102,3085067.2324828776,3376323.5593652376,23815388.164666086,38.7
G32,2024-04-13 16:53:56.426041,4437026.563872529,3085060.3794989586,3376298.771729782,21484779.69678629,48.9
G08,2024-04-13 16:53:56.426041,4437056.144185675,3085073.03231844,3376316.241189288,21161199.611230712,31.6
G10,2024-04-13 16:53:56.426041,4437048.66144032,3085066.375404953,3376316.086133447,22841650.2746956,35.3
G27,2024-04-13 16:53:56.426041,4437058.147752285,3085073.6625385573,3376318.564527316,22221153.02417805,31.8
G28,2024-04-13 16:53:56.426041,4437057.443723279,3085071.3010635953,3376305.0542089147,23813051.580510743,28.7
G32,2024-04-13 16:53:56.426041,4437057.297681983,3085079.1914515784,3376289.6635770937,21482422.45157314,33.2
G02,2024-04-13 16:53:57.426041,4437059.5601880625,3085063.4493927,3376283.670295492,22882688.265857924,46.2
G08,2024-04-13 16:53:57.426041,4437064.209090325,3085071.0150028006,3376277.3870845707,21163770.02830377,37.0
G10,2024-04-13 16:53:57.426041,4437085.823148217,3085076.4732976584,3376287.3541408586,22844391.56430076,41.4
G21,2024-04-13 16:53:57.426041,4437086.329788857,3085064.309437502,3376283.6508609983,21664648.89805153,43.7
G27,2024-04-13 16:53:57.426041,4437089.384390279,3085071.5897676577,3376266.2450212594,22224079.320991687,42.4
G28,2024-04-13 16:53:57.426041,4437069.462337986,3085060.058298534,3376229.999288222,23814913.902648356,36.8
G32,2024-04-13 16:53:57.426041,4437095.382713287,3085062.540762123,3376233.603474374,21485059.423776656,51.4
G03,2024-04-13 16:53:57.426041,4437106.358828752,3085065.586550073,3376233.3536341703,23991302.79758716,22.2
G08,2024-04-13 16:53:57.426041,4437114.732458189,3085064.0008526016,3376233.9568722267,21161410.968267977,29.5
G10,2024-04-13 16:53:57.426041,4437098.621445107,3085055.687975993,3376216.988836461,22842038.507139873,34.9
G27,2024-04-13 16:53:57.426041,4437111.508961308,3085055.523096198,3376224.4871434416,22221728.32295649,33.5
G28,2024-04-13 16:53:57.426041,4437102.455260728,3085039.699325362,3376218.4002441997,23812577.004389092,36.3
G32,2024-04-13 16:53:57.426041,4437122.442446948,3085040.9534808584,3376235.9504174106,21482707.553230572,30.9
G02,2024-04-13 16:53:58.426041,4437117.0290864855,3085034.858942476,3376234.1224209825,22882209.501684017,43.0
G03,2024-04-13 16:53:58.426041,4437141.640997212,3085029.8423630674,3376251.1478903983,23993174.08913669,37.0
G08,2024-04-13 16:53:58.426041,4437115.870210865,3085028.9539118847,3376224.640369307,21163976.010673966,43.7
G10,2024-04-13 16:53:58.426041,4437124.060014985,3085021.4927674783,3376234.1828306103,22844772.013947923,38.5
G21,2024-04-13 16:53:58.426041,4437133.239790196,3085015.3432665137,3376237.856226093,21664339.505691007,49.6
G27,2024-04-13 16:53:58.426041,4437117.597658947,3085008.043662071,3376223.851737324,22224659.40112979,39.2
G28,2024-04-13 16:53:58.426041,4435930.876467641,3084985.716789683,3374984.4282221072,23814449.831557788,39.0
G32,2024-04-13 16:53:58.426041,4435930.771922576,3084983.660249028,3374986.2017270504,21485343.02471536,47.8
G03,2024-04-13 16:53:58.426041,4437143.611938073,3084999.9124453054,3376238.922089031,23990826.720746785,36.8
